FID	nb_genes	nb_species	origin	lost_sp	lost_taxa	expanded_tax
OG0000000	2362	26	metazoa	3	dme,sme,dgy	aqu,hel,lan,mle,nge,odi,pau,sma,tca
OG0000001	1525	28	eumetazoa	0		bla,loc,nve,sko
OG0000002	1508	29	metazoa	0		hsa,odi,rva,tca,dme
OG0000003	1467	29	metazoa	0		hro,hsa,loc
OG0000004	1374	29	metazoa	0		bla,cin,cte,hro
OG0000005	1292	28	metazoa	1	ava	bla,cgi,cte,hel,lan,pau,pye,sko
OG0000006	1236	28	metazoa	1	mle	aqu,bla,cgi,cte,hro,mli
OG0000007	1213	29	metazoa	0		loc,nve,rva,sko,sme
OG0000008	1212	29	metazoa	0		aqu,bla,cgi,lgi,nve,pye,sko
OG0000009	1186	29	metazoa	0		cte,hel,nve
OG0000010	1129	22	metazoa	7	cin,hsa,dme,ava,sme,cgi,dgy	aqu,bla,cte,hel,hro,mle,nge,nve,odi,rva,tca
OG0000011	1111	20	metazoa	9	mle,odi,vertebrata,rva,dme,ava,dgy,hro	aqu,hel,lan,nge,pau,sma,tca
OG0000012	1071	29	metazoa	0		cin,nge,obi,pau
OG0000013	1046	27	parahoxozoa	0		bla,ppa
OG0000014	901	29	metazoa	0		
OG0000015	900	28	metazoa	1	rva	hel,ppa
OG0000016	856	29	metazoa	0		
OG0000017	850	27	parahoxozoa	0		
OG0000018	805	29	metazoa	0		cte,rva,sko
OG0000019	784	29	metazoa	0		bla,ppa,tca,dme
OG0000020	783	29	metazoa	0		
OG0000021	771	26	metazoa	3	mandibulata	cin,hel,nve,obi
OG0000022	741	29	metazoa	0		
OG0000023	718	26	metazoa	3	nematodes,ava	aqu,nve
OG0000024	706	29	metazoa	0		cte,hel
OG0000025	688	29	metazoa	0		pye,sko
OG0000026	687	29	metazoa	0		
OG0000027	685	28	metazoa	1	dme	cin,nve
OG0000028	681	29	metazoa	0		nve,pau,ppa
OG0000029	653	29	metazoa	0		
OG0000030	641	29	metazoa	0		obi
OG0000031	631	28	metazoa	1	dme	hro,hsa,obi,pye
OG0000032	622	29	metazoa	0		
OG0000033	615	25	metazoa	4	cin,platyhelminthes,cgi	bla,cel,ppa,rva,dme
OG0000034	614	29	metazoa	0		bla,cte,pye,sko
OG0000035	605	22	metazoa	7	mle,nematodes,rva,insects,sme	bla,cte,hel,nve
OG0000036	601	23	metazoa	6	odi,nematodes,dme,lgi,dgy	aqu,hro,nge,obi,rva
OG0000037	600	29	metazoa	0		
OG0000038	594	29	metazoa	0		
OG0000039	575	29	metazoa	0		bla,cin,cte
OG0000040	572	27	parahoxozoa	0		nve
OG0000041	571	29	metazoa	0		
OG0000042	557	25	metazoa	4	odi,cel,obi,dgy	aqu,lan,nge,rva
OG0000043	535	28	eumetazoa	0		bla,cte
OG0000044	532	25	metazoa	4	mle,ava,platyhelminthes	cgi,cte,lgi,sma
OG0000045	514	29	metazoa	0		
OG0000046	502	29	metazoa	0		ava,hro,sma
OG0000047	496	29	metazoa	0		aqu,cin,obi
OG0000048	491	28	metazoa	1	mle	ava,ppa,tca,dme
OG0000049	481	29	metazoa	0		
OG0000050	465	18	protostomia	2	rva,nge	
OG0000051	463	27	parahoxozoa	0		
OG0000052	458	19	metazoa	10	olfactores,nematodes,sma,dme,ava,dgy	aqu,hel,hro,nge,rva
OG0000053	455	28	metazoa	1	sme	mle,ppa,tca,dme
OG0000054	448	20	bilateria	6	nematodes,rva,insects,sme	bla,cgi,hel,pye
OG0000055	444	28	metazoa	1	mle	aqu,ava,sma,sme
OG0000056	442	29	metazoa	0		
OG0000057	439	26	parahoxozoa	1	sme	cte
OG0000058	439	27	parahoxozoa	0		sme
OG0000059	428	28	metazoa	1	mle	cgi,pye
OG0000060	428	21	metazoa	8	urochordata,hsa,nematodes,insects,ava	cgi
OG0000061	427	21	bilateria	5	sko,bla,urochordata,sme	cte
OG0000062	425	28	metazoa	1	cel	mle
OG0000063	422	25	eumetazoa	3	nematodes,sme	pau
OG0000064	418	29	metazoa	0		cel,ppa
OG0000065	414	29	metazoa	0		
OG0000066	412	29	metazoa	0		obi
OG0000067	407	28	eumetazoa	0		ava,bla
OG0000068	404	23	metazoa	6	urochordata,hsa,dme,sme,dgy	bla,mle,ppa,sma
OG0000069	399	29	metazoa	0		
OG0000070	398	21	eumetazoa	7	nve,odi,vertebrata,ppa,dgy,pau	hro,mle,obi,sma
OG0000071	396	17	metazoa	12	vertebrata,ppa,rva,insects,ava,platyhelminthes,obi,dgy,hro	aqu,cte,nge
OG0000072	395	29	metazoa	0		
